model,roc_auc,precision,recall,f1,accuracy
logistic,0.8116666666666668,0.5806451612903226,0.6666666666666666,0.6206896551724138,0.7142857142857143
random_forest,0.8132407407407407,0.6166666666666667,0.6851851851851852,0.6491228070175439,0.7402597402597403
xgb,0.8079629629629629,0.603448275862069,0.6481481481481481,0.625,0.7272727272727273
svm,0.8114814814814815,0.5967741935483871,0.6851851851851852,0.6379310344827587,0.7272727272727273
mlp,0.7912962962962963,0.62,0.5740740740740741,0.5961538461538461,0.7272727272727273
